"UID","mapped","unmapped"
"H9.102.2.5","syn2246875","syn2246877"
"H9.102.2.6","syn2246913","syn2246915"
"H9.119.3.7","syn2246970","syn2246974"
"H9.119.5.3","syn2246992","syn2246996"
"H9.144.7.7","syn2247034","syn2247036"
"H9ECTO.219.2.6","syn2247055","syn2247059"
"H9MESOD15.219.2.27","syn2247099","syn2247101"
"H9MESOD30.219.2.4","syn2247118","syn2247120"
"H9MESOD5.219.2.23","syn2247135","syn2247137"
"IPS18-4-1.102.2.2","syn2247152","syn2247154"
"IPS18-4-2.102.2.4","syn2247170","syn2247173"
"SC11-001A.119.1.2","syn2247188","syn2247190"
"SC11-001AEB.133.3.16","syn2247205","syn2247207"
"SC11-001B.119.5.8","syn2247225","syn2247227"
"SC11-001BEB.133.1.9","syn2247242","syn2247244"
"SC11-002A.133.1.2","syn2247259","syn2247261"
"SC11-002B.133.1.4","syn2247279","syn2247281"
"SC11-003A.133.1.5","syn2247305","syn2247307"
"SC11-003B.133.1.6","syn2247330","syn2247332"
"SC11-004A.133.1.7","syn2247355","syn2247357"
"SC11-004B.133.1.12","syn2247373","syn2247375"
"SC11-005A.119.3.3","syn2247390","syn2247392"
"SC11-005B.119.5.9","syn2247407","syn2247409"
"SC11-006A.119.1.4","syn2247424","syn2247426"
"SC11-006B.119.1.10","syn2247444","syn2247446"
"SC11-007A.119.3.5","syn2247461","syn2247463"
"SC11-007B.119.3.1","syn2247478","syn2247480"
"SC11-008A.149.3.13","syn2247512","syn2247514"
"SC11-008AEB.133.3.15","syn2247537","syn2247539"
"SC11-008B.149.3.14","syn2247555","syn2247565"
"SC11-008DE.134.5.18","syn2247782","syn2247784"
"SC11-009A.133.3.5","syn2247946","syn2247957"
"SC11-009A.149.5.15","syn2248049","syn2248057"
"SC11-009AEB.133.3.18","syn2248156","syn2248167"
"SC11-009BEB.133.1.10","syn2248264","syn2248275"
"SC11-009DE.182.1.5","syn2248380","syn2248388"
"SC11-009EB.219.1.10","syn2248484","syn2248493"
"SC11-009ECTO.182.2.1","syn2248578","syn2248585"
"SC11-009MESO.182.2.2","syn2248665","syn2248669"
"SC11-010A.149.5.16","syn2248743","syn2248754"
"SC11-010B.149.5.18","syn2248944","syn2248946"
"SC11-010BEB.144.6.6","syn2248961","syn2248963"
"SC11-010DE.134.5.19","syn2248996","syn2248998"
"SC11-012A.149.5.19","syn2249045","syn2249063"
"SC11-012AEB.133.3.2","syn2249191","syn2249193"
"SC11-012B.149.5.20","syn2249209","syn2249211"
"SC11-012BEB.144.6.7","syn2250160","syn2250162"
"SC11-013A.149.5.21","syn2250196","syn2250198"
"SC11-013AEB.133.3.4","syn2250213","syn2250215"
"SC11-013B.149.5.22","syn2250231","syn2250234"
"SC11-013DE.133.2.2","syn2250561","syn2250563"
"SC11-014A.133.1.13","syn2250578","syn2250580"
"SC11-014AEB.144.6.12","syn2250595","syn2250597"
"SC11-014B.133.2.4","syn2250612","syn2250614"
"SC11-014BEB.133.5+6.11","syn2250629","syn2250631"
"SC11-015A.133.1.14","syn2250646","syn2250648"
"SC11-015ADE.133.2.6","syn2250714","syn2250716"
"SC11-015AEB.144.6.13","syn2250663","syn2250665"
"SC11-015B.133.2.5","syn2250680","syn2250682"
"SC11-015BDE.133.2.7","syn2250731","syn2250733"
"SC11-015BEB.144.6.14","syn2250697","syn2250699"
"SC11-015CDE.182.3.15","syn2250748","syn2250750"
"SC11-015CEB.219.1.11","syn2250765","syn2250767"
"SC11-015ECTO.182.2.4","syn2250785","syn2250787"
"SC11-015MESO.182.3.5","syn2250803","syn2250805"
"SC11-015MESOD15.219.2.25","syn2250820","syn2250822"
"SC11-015MESOD30.219.2.1","syn2250840","syn2250842"
"SC11-016A.133.1.8","syn2250857","syn2250859"
"SC11-016AEB.144.6.15","syn2250874","syn2250876"
"SC11-016B.133.2.15","syn2250891","syn2250893"
"SC11-016BEB.133.2.16","syn2250908","syn2250910"
"SC11-016DE.133.2.12","syn2250930","syn2250932"
"SC11-017A.144.6.16","syn2250947","syn2250949"
"SC11-017B.154.1.2","syn2251041","syn2251043"
"SC11-018A.144.6.18","syn2251102","syn2251104"
"SC11-018B.154.1.3","syn2251198","syn2251200"
"SC12-002A.154.1.4","syn2251325","syn2251330"
"SC12-005A.144.7.19","syn2251361","syn2251368"
"SC12-005B.144.7.21","syn2251406","syn2251408"
"SC12-006A.144.7.22","syn2251450","syn2251458"
"SC12-006B.144.7.23","syn2251477","syn2251479"
"SC12-007.181.7.1","syn2251506","syn2251508"
"SC12-007DE.182.1.4","syn2251527","syn2251529"
"SC12-007EB.181.7.12","syn2251911","syn2251913"
"SC12-007ECTO.182.2.18","syn2251945","syn2251947"
"SC12-007MESO.182.1.6","syn2251981","syn2251983"
"SC12-019.181.7.2","syn2252013","syn2252017"
"SC12-019EB.182.1.20","syn2252047","syn2252051"
"SC12-020.181.7.3","syn2252083","syn2252087"
"SC12-021A.172.5.7","syn2252126","syn2252128"
"SC12-022A.172.5.8","syn2252162","syn2252172"
"SC12-022DE.182.3.16","syn2252204","syn2252213"
"SC12-022EB.181.7.13","syn2252245","syn2252247"
"SC12-022ECTO.182.2.3","syn2252270","syn2252274"
"SC12-022MESO.182.3.6","syn2252313","syn2252315"
